,state,year,spirits,unemp,income,emppop,beertax,baptist,mormon,drinkage,dry,youngdrivers,miles,breath,jail,service,fatal,nfatal,sfatal,fatal1517,nfatal1517,fatal1820,nfatal1820,fatal2124,nfatal2124,afatal,pop,pop1517,pop1820,pop2124,milestot,unempus,emppopus,gsp
1,al,1982,1.370000005,14.39999962,10544.15234,50.69203949,1.539379478,30.35569954,0.328289986,19,25.00629997,0.211572006,7233.887207,no,no,no,839,146,99,53,9,99,34,120,32,309.4379883,3942002.25,208999.5938,221553.4375,290000.0625,28516,9.699999809,57.79999924,-0.02212476
2,al,1983,1.360000014,13.69999981,10732.79785,52.14702988,1.788990736,30.33359909,0.343409985,19,22.99419975,0.210767999,7836.347656,no,no,no,930,154,98,71,8,108,26,124,35,341.8340149,3960008,202000.0781,219125.4688,290000.1563,31032,9.600000381,57.90000153,0.046558253
3,al,1984,1.320000052,11.10000038,11108.79102,54.16808701,1.714285612,30.31150055,0.359239995,19,24.04260063,0.211484,8262.990234,no,no,no,932,165,94,49,7,103,25,118,34,304.8720093,3988991.75,196999.9688,216724.0938,288000.1563,32961,7.5,59.50000381,0.062797837
4,al,1985,1.279999971,8.899999619,11332.62695,55.27113724,1.652542353,30.28949928,0.37579,19.67000008,23.63389969,0.211140007,8726.916992,no,no,no,882,146,98,66,9,100,23,114,45,276.7420044,4021007.75,194999.7344,214349.0313,284000.3125,35091,7.199999809,60.10000229,0.027489973
5,al,1986,1.230000019,9.800000191,11661.50684,56.51449585,1.609907031,30.26740074,0.393110007,21,23.4647007,0.213400006,8952.853516,no,no,no,1081,172,119,82,10,120,23,119,29,360.7160034,4049993.75,203999.8906,212000,263000.2813,36259,7,60.70000076,0.032142948
6,al,1987,1.179999948,7.800000191,11944,57.50988007,1.559999943,30.24530029,0.411229998,21,23.79240036,0.215526998,9166.301758,no,no,no,1110,181,114,94,11,127,31,138,30,368.42099,4082999,204999.8125,208998.4531,258999.7656,37426,6.199999809,61.5,0.048976373
7,al,1988,1.169999957,7.199999809,12368.62402,56.83452988,1.501443624,30.22330093,0.430180013,21,23.79240036,0.218327999,9674.323242,no,no,no,1023,139,89,66,8,105,24,123,25,298.321991,4101992.25,201000.125,193000.5156,262999.7813,39684,5.5,62.30000305,0.035391819
8,az,1982,1.970000029,9.899999619,12309.06934,56.89329529,0.214797139,3.958899975,4.919099808,19,0,0.209012002,6810.156738,no,yes,yes,724,131,76,40,7,81,16,96,36,173.6679993,2896996.5,140999.9844,156378.7031,217999.9844,19729,9.699999809,57.79999924,-0.0431819
9,az,1983,1.899999976,9.100000381,12693.80762,57.55363083,0.206422031,3.890100002,4.831069946,19,0,0.203854993,6587.494629,no,yes,yes,675,112,60,40,7,83,19,80,17,196.8899994,2977004.25,138999.8906,157521.4375,218999.8906,19611,9.600000381,57.90000153,0.076205537
10,az,1984,2.140000105,5,13265.93359,60.37902069,0.296703309,3.822599888,4.744609833,19,0,0.209126994,6709.970215,no,yes,yes,869,149,81,51,8,118,34,123,33,212.3609924,3071995.75,138000.0781,158672.5313,219999.9688,20613,7.5,59.50000381,0.106213972
